"id";"tiempo_lectura";"puerta";"distancia";"movimiento";"luz";"veracidad"
"1";"20:06:23";"0";"100";"0";"0";"1"
"2";"20:06:28";"0";"100";"0";"0";"1"
"3";"20:09:40";"0";"100";"0";"0";"1"
"4";"20:09:44";"0";"100";"0";"0";"1"
"5";"20:09:48";"0";"100";"0";"0";"1"
"6";"20:09:52";"0";"100";"0";"0";"1"
"7";"20:09:56";"0";"100";"0";"0";"1"
"8";"20:10:01";"0";"100";"0";"0";"1"
"9";"20:10:05";"0";"100";"0";"0";"1"
"10";"20:10:09";"0";"100";"0";"0";"1"
"11";"20:10:13";"0";"100";"0";"0";"1"
"12";"20:10:17";"0";"100";"0";"0";"1"
"13";"20:10:21";"0";"100";"0";"0";"1"
"14";"20:10:25";"0";"100";"0";"0";"1"
"15";"20:10:29";"0";"100";"0";"0";"1"
"16";"20:10:33";"0";"100";"0";"0";"1"
"17";"20:10:37";"0";"100";"0";"0";"1"
"18";"20:10:41";"0";"100";"0";"0";"1"
"19";"20:10:45";"0";"100";"0";"0";"1"
"20";"20:10:49";"0";"100";"0";"0";"1"
"21";"20:10:53";"0";"100";"0";"0";"1"
"22";"20:10:57";"0";"100";"0";"0";"1"
"23";"20:11:01";"0";"100";"0";"0";"1"
"24";"20:11:05";"0";"100";"0";"0";"1"
"25";"20:11:09";"0";"100";"0";"0";"1"
"26";"20:11:13";"0";"100";"0";"0";"1"
"27";"20:11:17";"0";"100";"0";"0";"1"
"28";"20:11:21";"0";"100";"0";"0";"1"
"29";"20:11:25";"0";"100";"0";"0";"1"
"30";"20:11:29";"0";"100";"0";"0";"1"
"31";"20:11:33";"0";"100";"0";"0";"1"
"32";"20:11:37";"0";"100";"0";"0";"1"
"33";"20:11:41";"0";"100";"0";"0";"1"
"34";"20:11:46";"0";"100";"0";"0";"1"
"35";"20:11:50";"0";"100";"0";"0";"1"
"36";"20:11:54";"0";"100";"0";"0";"1"
"37";"20:11:58";"0";"100";"0";"0";"1"
"38";"20:12:02";"0";"100";"0";"0";"1"
"39";"20:12:06";"0";"100";"0";"0";"1"
"40";"20:12:10";"0";"100";"0";"0";"1"
"41";"20:12:14";"0";"100";"0";"0";"1"
"42";"20:12:18";"0";"100";"0";"0";"1"
"43";"20:12:22";"0";"100";"0";"0";"1"
"44";"20:12:26";"0";"100";"0";"0";"1"
"45";"20:12:30";"0";"100";"0";"0";"1"
"46";"20:12:34";"0";"100";"0";"0";"1"
"47";"20:12:38";"0";"100";"0";"0";"1"
"48";"20:12:42";"0";"100";"0";"0";"1"
"49";"20:12:46";"0";"100";"0";"0";"1"
"50";"20:12:50";"0";"100";"0";"0";"1"
"51";"20:12:54";"0";"100";"0";"0";"1"
"52";"20:12:58";"0";"100";"0";"0";"1"
"53";"20:13:02";"0";"100";"0";"0";"1"
"54";"20:13:06";"0";"100";"0";"0";"1"
"55";"20:13:10";"0";"100";"0";"0";"1"
"56";"20:13:14";"0";"100";"0";"0";"1"
"57";"20:13:18";"0";"100";"0";"0";"1"
"58";"20:13:22";"0";"100";"0";"0";"1"
"59";"20:13:26";"0";"100";"0";"0";"1"
"60";"20:13:30";"0";"100";"0";"0";"1"
"61";"20:13:34";"0";"100";"0";"0";"1"
"62";"20:13:38";"0";"100";"0";"0";"1"
"63";"20:13:43";"0";"100";"0";"0";"1"
"64";"20:13:47";"0";"100";"0";"0";"1"
"65";"20:13:51";"0";"100";"0";"0";"1"
"66";"20:13:55";"0";"100";"0";"0";"1"
"67";"20:13:59";"0";"100";"0";"0";"1"
"68";"20:14:03";"0";"100";"0";"0";"1"
"69";"20:14:07";"0";"100";"0";"0";"1"
"70";"20:14:11";"0";"100";"0";"0";"1"
"71";"20:14:15";"0";"100";"0";"0";"1"
"72";"20:14:19";"0";"100";"0";"0";"1"
"73";"20:14:23";"0";"100";"0";"0";"1"
"74";"20:14:27";"0";"100";"0";"0";"1"
"75";"20:14:31";"0";"100";"0";"0";"1"
"76";"20:14:35";"0";"100";"0";"0";"1"
"77";"20:14:39";"0";"100";"0";"0";"1"
"78";"20:14:43";"0";"100";"0";"0";"1"
"79";"20:14:47";"1";"48";"0";"0";"1"
"80";"20:14:51";"0";"52";"0";"0";"1"
"81";"20:14:55";"0";"100";"1";"0";"1"
"82";"20:14:59";"0";"100";"0";"0";"1"
"83";"20:15:03";"1";"53";"0";"0";"1"
"84";"20:15:07";"0";"48";"0";"0";"0"
"85";"20:15:11";"1";"0";"0";"0";"0"
"86";"20:15:15";"0";"51";"0";"0";"0"
"87";"20:15:19";"1";"0";"0";"1";"0"
"88";"20:15:23";"1";"100";"1";"0";"0"
"89";"20:15:27";"1";"0";"0";"1";"0"
"90";"20:15:32";"1";"0";"0";"0";"0"
"91";"20:15:36";"1";"0";"0";"1";"0"
"92";"20:15:40";"1";"0";"0";"1";"0"
"93";"20:15:44";"0";"0";"0";"0";"0"
"94";"20:15:48";"1";"0";"0";"0";"0"
"95";"20:15:52";"1";"0";"0";"0";"0"
"96";"20:15:56";"1";"0";"0";"1";"0"
"97";"20:16:00";"0";"0";"0";"0";"0"
"98";"20:16:04";"1";"0";"0";"1";"0"
